title,sjr,quartile
Ca-A Cancer Journal for Clinicians,145.004,Q1
MMWR Recommendations and Reports,41.754,Q1
Nature Reviews Molecular Cell Biology,37.353,Q1
Quarterly Journal of Economics,35.995,Q1
Nature Reviews Drug Discovery,30.506,Q1
Nature Reviews Clinical Oncology,28.675,Q1
American Economic Review,25.102,Q1
Nature Reviews Cancer,24.378,Q1
Journal of Finance,22.836,Q1
Foundations and Trends in Machine Learning,22.797,Q1
Cell,22.612,Q1
Econometrica,21.091,Q1
Nature Reviews Materials,19.430,Q1
Review of Economic Studies,19.166,Q1
New England Journal of Medicine,19.076,Q1
Annals of Oncology,19.072,Q1
Cancer Cell,19.027,Q1
Nature Biotechnology,19.006,Q1
World Psychiatry,18.419,Q1
Nature Medicine,18.333,Q1
Nature,18.288,Q1
Reviews of Modern Physics,18.080,Q1
Nature Reviews Disease Primers,17.995,Q1
Journal of Financial Economics,17.669,Q1
Nature Energy,17.599,Q1
Nature Reviews Immunology,17.458,Q1
Nature Methods,17.251,Q1
Journal of Political Economy,17.087,Q1
Nature Genetics,16.586,Q1
Review of Financial Studies,16.546,Q1
Chemical Reviews,16.455,Q1
Annual Review of Immunology,16.428,Q1
Nature Reviews Genetics,16.364,Q1
National Vital Statistics Reports,15.519,Q1
MMWR Surveillance Summaries,15.326,Q1
Nature Reviews Methods Primers,15.026,Q1
Nature Nanotechnology,14.612,Q1
Living Reviews in Relativity,14.562,Q1
Academy of Management Review,14.402,Q1
Nature Materials,14.204,Q1
IEEE Communications Surveys and Tutorials,14.184,Q1
Nature Catalysis,14.132,Q1
Academy of Management Annals,13.877,Q1
Nature Reviews Microbiology,13.861,Q1
Annual Review of Psychology,13.786,Q1
American Economic Journal: Macroeconomics,13.528,Q1
Nature Reviews Earth and Environment,13.465,Q1
Nature Reviews Chemistry,13.441,Q1
Journal of Marketing,13.394,Q1
Journal of Economic Literature,12.749,Q1
Annual Review of Astronomy and Astrophysics,12.736,Q1
Annual Review of Organizational Psychology and Organizational Behavior,12.191,Q1
The Lancet Diabetes and Endocrinology,12.190,Q1
Annual Review of Pathology: Mechanisms of Disease,12.185,Q1
Journal of Econometrics,12.168,Q1
Physiological Reviews,12.167,Q1
Immunity,12.163,Q1
Signal Transduction and Targeted Therapy,12.135,Q1
The Lancet,12.113,Q1
Cell Metabolism,11.989,Q1
